222,1995-96,1996-01-13,Betis,Valladolid,3,0,H
223,1995-96,1996-01-14,Barcelona,La Coruna,1,1,D
224,1995-96,1996-01-14,Compostela,Espanol,2,1,H
225,1995-96,1996-01-14,Oviedo,Merida,0,0,D
226,1995-96,1996-01-14,Real Madrid,Zaragoza,2,2,D
227,1995-96,1996-01-14,Salamanca,Sevilla,4,1,H
228,1995-96,1996-01-14,Sociedad,Santander,2,1,H
229,1995-96,1996-01-14,Tenerife,Sp Gijon,3,0,H
230,1995-96,1996-01-14,Valencia,Celta,3,0,H
231,1995-96,1996-01-14,Vallecano,Ath Bilbao,2,2,D
232,1995-96,1996-01-20,Valencia,La Coruna,2,1,H
233,1995-96,1996-01-21,Albacete,Sp Gijon,1,3,A
234,1995-96,1996-01-21,Barcelona,Valladolid,1,0,H
235,1995-96,1996-01-21,Betis,Merida,0,1,A
236,1995-96,1996-01-21,Compostela,Celta,1,1,D
237,1995-96,1996-01-21,Oviedo,Zaragoza,1,1,D
238,1995-96,1996-01-21,Real Madrid,Vallecano,1,2,A
239,1995-96,1996-01-21,Salamanca,Espanol,2,2,D
240,1995-96,1996-01-21,Santander,Ath Bilbao,1,1,D
241,1995-96,1996-01-21,Sociedad,Ath Madrid,1,0,H
242,1995-96,1996-01-21,Tenerife,Sevilla,4,2,H
243,1995-96,1996-01-24,Ath Bilbao,Real Madrid,0,5,A
244,1995-96,1996-01-24,Ath Madrid,Santander,2,0,H
245,1995-96,1996-01-24,Celta,Salamanca,2,1,H
246,1995-96,1996-01-24,Espanol,Tenerife,2,1,H
247,1995-96,1996-01-24,La Coruna,Compostela,2,0,H
248,1995-96,1996-01-24,Sevilla,Albacete,1,1,D
249,1995-96,1996-01-24,Sp Gijon,Sociedad,1,1,D
250,1995-96,1996-01-24,Valladolid,Valencia,2,5,A
251,1995-96,1996-01-24,Vallecano,Oviedo,1,2,A
252,1995-96,1996-01-24,Zaragoza,Betis,1,2,A
253,1995-96,1996-01-25,Merida,Barcelona,0,0,D
254,1995-96,1996-01-27,Salamanca,La Coruna,0,5,A
255,1995-96,1996-01-28,Albacete,Espanol,0,0,D
256,1995-96,1996-01-28,Ath Madrid,Ath Bilbao,4,1,H
257,1995-96,1996-01-28,Barcelona,Zaragoza,3,1,H
258,1995-96,1996-01-28,Betis,Vallecano,0,0,D
259,1995-96,1996-01-28,Compostela,Valladolid,1,3,A
260,1995-96,1996-01-28,Oviedo,Real Madrid,1,2,A
261,1995-96,1996-01-28,Santander,Sp Gijon,1,1,D
262,1995-96,1996-01-28,Sociedad,Sevilla,1,0,H
263,1995-96,1996-01-28,Tenerife,Celta,1,0,H
264,1995-96,1996-01-28,Valencia,Merida,4,1,H
265,1995-96,1996-02-03,Sp Gijon,Ath Madrid,1,2,A
266,1995-96,1996-02-03,Zaragoza,Valencia,4,1,H
267,1995-96,1996-02-04,Ath Bilbao,Oviedo,0,1,A
268,1995-96,1996-02-04,Celta,Albacete,2,2,D
269,1995-96,1996-02-04,Espanol,Sociedad,0,0,D
270,1995-96,1996-02-04,La Coruna,Tenerife,1,1,D
271,1995-96,1996-02-04,Merida,Compostela,0,2,A
272,1995-96,1996-02-04,Real Madrid,Betis,4,2,H
273,1995-96,1996-02-04,Sevilla,Santander,0,1,A
274,1995-96,1996-02-04,Valladolid,Salamanca,1,0,H
275,1995-96,1996-02-04,Vallecano,Barcelona,1,1,D
276,1995-96,1996-02-10,Ath Madrid,Sevilla,0,1,A
277,1995-96,1996-02-10,Barcelona,Real Madrid,3,0,H
278,1995-96,1996-02-10,Valencia,Vallecano,3,0,H
279,1995-96,1996-02-11,Albacete,La Coruna,1,0,H
280,1995-96,1996-02-11,Betis,Oviedo,2,1,H
281,1995-96,1996-02-11,Compostela,Zaragoza,3,2,H
282,1995-96,1996-02-11,Salamanca,Merida,2,2,D
283,1995-96,1996-02-11,Santander,Espanol,1,1,D
284,1995-96,1996-02-11,Sociedad,Celta,3,1,H
285,1995-96,1996-02-11,Sp Gijon,Ath Bilbao,1,2,A
286,1995-96,1996-02-11,Tenerife,Valladolid,1,0,H
287,1995-96,1996-02-17,Real Madrid,Valencia,0,0,D
288,1995-96,1996-02-17,Zaragoza,Salamanca,1,1,D
289,1995-96,1996-02-18,Ath Bilbao,Betis,0,1,A
290,1995-96,1996-02-18,Celta,Santander,0,0,D
291,1995-96,1996-02-18,Espanol,Ath Madrid,0,2,A
292,1995-96,1996-02-18,La Coruna,Sociedad,1,1,D
293,1995-96,1996-02-18,Merida,Tenerife,2,0,H
294,1995-96,1996-02-18,Oviedo,Barcelona,1,2,A
295,1995-96,1996-02-18,Sevilla,Sp Gijon,2,0,H
296,1995-96,1996-02-18,Valladolid,Albacete,3,0,H
297,1995-96,1996-02-18,Vallecano,Compostela,0,1,A
298,1995-96,1996-02-24,Santander,La Coruna,2,1,H
299,1995-96,1996-02-25,Albacete,Merida,2,0,H
300,1995-96,1996-02-25,Ath Madrid,Celta,3,2,H
301,1995-96,1996-02-25,Barcelona,Betis,1,0,H
302,1995-96,1996-02-25,Compostela,Real Madrid,3,3,D
303,1995-96,1996-02-25,Salamanca,Vallecano,1,2,A
304,1995-96,1996-02-25,Sevilla,Ath Bilbao,1,1,D
305,1995-96,1996-02-25,Sociedad,Valladolid,1,0,H
306,1995-96,1996-02-25,Sp Gijon,Espanol,2,3,A
307,1995-96,1996-02-25,Tenerife,Zaragoza,1,2,A
308,1995-96,1996-02-25,Valencia,Oviedo,3,1,H
